dia,dolarFechamento,dolarAbertura,dolarMaxima,dolarMinima,dolarVariacaoPercentual,bovespaFechamento,bovespaMinima,bovespaMaxima,bovespaVariacao,bovespaVariacaoPercentual,acao
1/7/2019,3.84,3.84,3.85,3.81,-0.3,101339.68,100973.48,102431.61,372.48,0.37,compra
2/7/2019,3.85,3.84,3.88,3.82,0.13,100605.17,100072.77,101564.53,-734.51,-0.72,nada
3/7/2019,3.83,3.85,3.88,0.38,-0.48,102043.11,100451.36,102176.96,1437.94,1.43,compra
4/7/2019,3.8,3.83,3.83,3.78,-0.68,103636.17,102046.55,104021.6,1593.06,1.56,compra
5/7/2019,3.82,3.8,3.84,3.8,0.55,104089.47,102621.7,104175.9,453.3,0.44,vende
8/7/2019,3.81,0.38,3.82,3.8,-0.39,104530.22,103987.99,104679.3,440.75,0.42,compra
10/7/2019,3.75,3.79,3.79,3.75,-1.21,105817.06,104536.7,106650.12,1286.84,1.23,compra
11/7/2019,3.76,3.75,3.77,3.73,0.01,105146.44,104813.51,105885.5,-670.62,-0.63,nada
12/7/2019,3.74,3.76,3.76,3.73,-0.47,103905.99,103903.06,105730.54,-1240.45,-1.18,compra
15/7/2019,3.76,3.74,3.76,3.73,0.52,103802.69,103494.84,104577.91,-103.3,-0.1,nada
16/7/2019,3.77,3.76,3.77,3.75,0.32,103775.41,103361.08,104439.98,-27.28,-0.03,nada
17/7/2019,3.76,3.77,3.77,3.75,-0.12,103855.53,103711.71,104453.09,80.12,0.08,compra
18/7/2019,3.72,3.76,3.76,3.72,-1.19,104716.59,103859.36,104773.05,861.06,0.83,compra
19/7/2019,3.75,3.72,0.38,3.72,0.81,103451.93,103387.84,104722.64,-1264.66,-1.21,nada
22/7/2019,3.74,3.75,3.75,3.73,-0.23,103949.46,103451.93,104278.14,497.53,0.48,compra
23/7/2019,3.77,3.74,3.78,3.74,0.88,103704.28,103518.2,104429.57,-245.18,-0.24,nada
24/7/2019,3.77,0.38,3.78,0.38,0,104119.54,103706.64,104570.36,415.26,0.4,nada
25/7/2019,0.38,3.77,3.81,3.75,0.14,102654.58,102390.47,104439.7,-1464.96,-1.41,nada
26/7/2019,3.78,3.78,3.79,3.76,-0.08,102818.93,102196.31,103209.05,164.35,0.16,compra
29/7/2019,3.78,0.38,3.8,0.38,0.15,103482.63,102460.82,103482.63,663.7,0.65,vende
30/7/2019,3.79,3.78,0,3.78,0.24,102932.76,102596.13,103554.99,-549.87,-0.53,nada
31/7/2019,3.81,3.79,3.82,3.75,0.59,101812.13,100950.36,103128.7,-1120.63,-1.09,nada
1/8/2019,3.84,3.82,3.86,3.81,0.72,102125.94,101818.93,104055.69,313.81,0.31,vende
2/8/2019,3.89,3.84,3.89,3.84,1.28,102673.68,101667.02,103179.66,547.74,0.54,vende
5/8/2019,3.98,3.89,3.98,3.89,2.29,100097.75,99630.09,102657.77,-2575.93,-2.51,nada
6/8/2019,3.96,3.98,3.99,3.94,-0.43,102163.69,100097.51,102178.08,2065.94,2.06,compra
7/8/2019,3.97,3.96,3.99,3.94,0.2,102782.37,100476.12,102784.21,618.68,0.61,vende
8/8/2019,3.92,3.97,3.97,3.92,-1.24,104115.23,102782.37,104281.89,1332.86,1.3,compra
9/8/2019,3.94,3.92,3.95,0,0.55,103996.16,103546.67,104848.18,-119.07,-0.11,nada
